EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Display,Direction,Timestamp
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,113,0,Arrow,Left,922566
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,114,0,Arrow,Left,922682
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,115,0,Arrow,Left,922798
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,116,0,Arrow,Left,922915
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,117,0,Arrow,Left,923032
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,118,0,Arrow,Left,923154
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,119,0,Arrow,Left,923272
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,120,0,Arrow,Left,923388
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,121,0,Arrow,Left,923505
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,122,0,Arrow,Left,923621
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,123,0,Arrow,Left,923740
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,124,0,Arrow,Left,923855
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,125,0,Arrow,Left,923979
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,126,0,Arrow,Left,924095
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,127,0,Arrow,Left,924212
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,128,0,Arrow,Left,924329
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,129,0,Arrow,Left,924445
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,130,0,Arrow,Left,924568
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,131,0,Arrow,Left,924685
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,132,0,Arrow,Left,924801
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,133,0,Arrow,Left,925061
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,134,0,Arrow,Left,925186
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,135,0,Arrow,Left,925305
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,136,0,Arrow,Left,925422
-3827.24,-3852.73,-3851.74,-3849.42,-3839.94,-3815.71,-3849.6,-3829.84,-0.0314941,0.985596,0.244385,-0.183105,2.92969,0.0610352,66.6667,137,0,Arrow,Left,925541
